timestamp,Accx,Accy,Accz
13480,-0.234,0.204,0.674
13520,-0.267,0.329,0.726
13560,-0.345,0.401,0.819
13600,-0.349,0.487,0.962
13640,-0.382,0.518,1.041
13680,-0.457,0.504,1.094
13720,-0.36,0.494,1.192
13760,-0.199,0.337,1.214
13800,-0.137,0.195,1.133
13840,-0.005,0.13,1.034
13880,0.103,0.005,0.958
13920,0.153,-0.072,0.877
13960,0.13,-0.05,0.87
14000,0.135,-0.052,0.893
14040,0.121,-0.081,0.974
14080,0.117,-0.045,1.05
14120,0.077,-0.019,1.181
14160,0.104,-0.072,1.238
14200,0.092,-0.026,1.253
14240,0.096,0.032,1.203
14280,0.109,0.057,1.126
14320,0.095,0.194,1.118
14360,0.024,0.252,1.142
14400,0.028,0.335,1.224
14440,0.056,0.449,1.26
14480,0.036,0.479,1.211
14520,0.034,0.5,1.117
14560,0.052,0.505,0.998
14600,0.078,0.472,0.873
14640,0.031,0.407,0.793
14680,0.044,0.344,0.756
14720,0.112,0.211,0.868
14760,0.054,0.069,0.961
14800,0.011,0.058,1.023
14840,-0.026,-0.032,1.113
14880,0.001,-0.083,1.163
14920,-0.024,-0.126,1.152
14960,-0.02,-0.211,1.12
15000,-0.019,-0.196,1.042
15040,-0.049,-0.224,0.984
15080,-0.035,-0.192,0.917
15120,-0.082,-0.204,0.848
15160,-0.11,-0.173,0.811
15200,-0.167,-0.131,0.747
15240,-0.233,-0.01,0.69
15280,-0.283,0.041,0.661
15320,-0.272,0.119,0.659
15360,-0.234,0.259,0.625
15400,-0.31,0.239,0.614
15440,-0.425,0.329,0.667
15480,-0.592,0.572,1.099
15520,-0.536,0.534,1.28
15560,-0.451,0.208,1.25
15600,-0.326,0.042,1.17
15640,-0.22,-0.042,1.042
15680,-0.371,0.156,0.818
15720,-0.502,0.152,0.756
15760,-0.438,-0.14,0.847
15800,-0.34,-0.298,0.896
15840,-0.234,-0.363,0.912
15880,-0.183,-0.313,0.835
15920,-0.199,-0.227,0.719
15960,-0.237,-0.082,0.609
16000,-0.241,-0.023,0.597
16040,-0.227,0.117,0.641
16080,-0.178,0.255,0.717
16120,-0.208,0.286,0.723
16160,-0.326,0.483,0.862
16200,-0.292,0.55,0.998
16240,-0.385,0.579,1.154
16280,-0.404,0.705,1.22
16320,-0.323,0.481,1.192
16360,-0.165,0.288,1.131
16400,-0.035,0.204,1.035
16440,0.052,0.024,0.876
16480,0.081,-0.005,0.874
16520,0.156,-0.108,0.872
16560,0.15,-0.154,0.881
16600,0.092,-0.086,0.945
16640,0.122,-0.044,1.026
16680,0.131,-0.01,1.079
16720,0.128,0.006,1.139
16760,0.152,0.003,1.215
16800,0.167,0.079,1.268
16840,0.153,0.115,1.316
16880,0.181,0.19,1.346
16920,0.107,0.371,1.322
16960,0.059,0.508,1.282
17000,0.065,0.612,1.191
17040,0.024,0.695,1.082
17080,0.029,0.637,0.962
17120,0.026,0.545,0.871
17160,0.093,0.446,0.9
17200,0.081,0.267,0.923
17240,0.167,0.2,0.969
